wav_filename,wav_filesize,transcript
common_voice_tr_19942053.wav,142892,siyasette temiz insanlara ihtiyacımız var
common_voice_tr_19942151.wav,145196,calasan yetenekli çocuk bursu da aldı
common_voice_tr_17354593.wav,198188,broz büyükbabasının başarılarını gururla anıyor
common_voice_tr_17343923.wav,98348,seydiu şimdi iki mevkiyi de kaybetti
common_voice_tr_19821495.wav,122924,referandum tarihi henüz belirlenmedi
common_voice_tr_18369567.wav,138284,her yaştan takasçı geliyor
common_voice_tr_17527931.wav,117548,bunun değişmesini beklemiyorum
common_voice_tr_18177773.wav,138284,etkinlik yirmi iki mayıs'a kadar açık kalacak
common_voice_tr_19285259.wav,207404,aralarında pek çok mülteci var
common_voice_tr_18275502.wav,190508,kasedin etkisi büyük oldu
common_voice_tr_17826129.wav,148268,biz realiteyi dikkate alıyoruz
common_voice_tr_18507612.wav,159020,bir sonraki ay bir anayasa kabul edildi
common_voice_tr_19565041.wav,107564,barış müzakereleri hiçbir zaman kolay olmaz
common_voice_tr_18373810.wav,163628,anlaşma bir ocak'ta yürürlüğe girecek
common_voice_tr_17960725.wav,96044,projeler altı bilimsel alanı kapsıyorlar
common_voice_tr_18395538.wav,101420,on milletvekili çekimser kaldı
common_voice_tr_17862344.wav,180524,yaşanan gelişmeler pek çok kimseyi şaşırtıyor
common_voice_tr_19018457.wav,109868,erdoğan eleştirileri reddetti
common_voice_tr_18395540.wav,117548,bundan cumhurbaşkanı bile etkilendi
common_voice_tr_17409471.wav,155948,ve bir yıl sonra bu ay bu iki kitap basıldı
common_voice_tr_17414891.wav,125228,portekiz salı günü bunu yapan kırk sekizinci ülke oldu
common_voice_tr_17384930.wav,124460,ab projesi en az iki açıdan değerlendirilebilir
common_voice_tr_17414895.wav,130604,priştineli bir esnaf dükkan açmaya hazırlanıyor
common_voice_tr_18967999.wav,169004,bakarciev daha sonra olaydaki rolünü itiraf etti
common_voice_tr_18967997.wav,186668,balkanlar'da hukuk devleti ilkesi nihayet pekişiyor mu
common_voice_tr_18282858.wav,176684,ancak bütün haberler de karamsar değil
common_voice_tr_18282860.wav,182060,sadece bükreş'te bin iki yüz polis memuru açığı var
common_voice_tr_20150100.wav,228908,bulgar takımı kıbrıs'ı üç sıfır yenerek birinci oldu
common_voice_tr_17355892.wav,126764,sc yetkilileri yanıt vermekte gecikmediler
common_voice_tr_20180150.wav,140588,milletvekili sayısı yüz yirmiden yüz otuz üçe çıkacak
common_voice_tr_20180147.wav,184364,turnuvaya on üç ülkeden doksan sporcu katıldı
common_voice_tr_17350744.wav,96044,bunun olmasını istemiyoruz
common_voice_tr_17350737.wav,132908,eyalet senatosuna da bir ziyaret düzenlendi
common_voice_tr_17345400.wav,138284,benim için bu kabul edilemez bir durum
common_voice_tr_17345401.wav,144428,aynı zamanda gazete sayısı da artıyor
common_voice_tr_17341269.wav,154412,pek çoğu da roman toplumundan geliyor
common_voice_tr_17341271.wav,175916,geçiş ülkelerinde yaşananlar ise karışık
common_voice_tr_19156877.wav,134444,katılanların yaklaşık yüzde kırkı otuz beş yaş altında
common_voice_tr_18564070.wav,138284,romanya erkekler dalında ikinci oldu
common_voice_tr_18380001.wav,217388,hızlı ve doğru şekilde hareket etmek zorundaydık
common_voice_tr_18380003.wav,140588,merkez bankasının başlıca amacı düşük enflasyon
common_voice_tr_17525621.wav,82988,peki sonuç ne oldu
common_voice_tr_17528880.wav,129068,ancak bu hareketi eleştirenler de var
common_voice_tr_17579998.wav,161324,diğer altı adayın her biri yüzde birin altında oy aldı
common_voice_tr_17528882.wav,129068,kosteliç efsanesi çok büyük bir efsane
common_voice_tr_18407437.wav,140588,elde edilen bilgiler halkı şok etti
common_voice_tr_18407439.wav,178988,proje mart ayında başlatıldı
common_voice_tr_17580000.wav,97580,moskova da olaya karıştı
common_voice_tr_17344912.wav,148268,gayet iddialıyız
common_voice_tr_18369910.wav,165932,kitaptaki kişi ben olabilirdim
common_voice_tr_18369911.wav,202796,bakanlar kosova konusunda da konuştular
common_voice_tr_19409505.wav,162860,slovenya iki bin sekiz yılında kosova'yı tanımıştı
common_voice_tr_19111205.wav,144428,karadağ ise sıfır virgül altmış üç ile en düşük puanı aldı
common_voice_tr_17344948.wav,128300,carrefour'un ülkede altı mağazası bulunuyor
common_voice_tr_17344947.wav,107564,kosova'da herkes buna katılmıyor
common_voice_tr_17852133.wav,179756,kadare'nin eserleri kırktan fazla ülkede çevrildi
common_voice_tr_17852134.wav,187436,mevcut sayı altı bin üç yüz civarında
common_voice_tr_17852135.wav,93740,emekli aylığımızla ne satın alabiliriz
common_voice_tr_17344949.wav,109868,ne tür tepkiler aldınız
common_voice_tr_17855915.wav,113708,kabaşi mahkemeye saygısızlıkla suçlandı
common_voice_tr_17855916.wav,99116,ülke belgeyi hazırlamaya başladı bile
common_voice_tr_17529715.wav,66860,ardelean tartışmalı bir seçimdi
common_voice_tr_17529693.wav,62252,eşit konumda değilsiniz
common_voice_tr_19261962.wav,150572,diğer beş adayın daha da az oy alması bekleniyor
common_voice_tr_19261963.wav,99884,afrika dünya
common_voice_tr_17526419.wav,84524,bu uygulamaları gerçekleştiriyoruz
common_voice_tr_17526417.wav,144428,tabii bu her zaman kolay olmuyor
common_voice_tr_17526421.wav,84524,soruşturma bir yıl kadar sürebilir
common_voice_tr_18288554.wav,136748,ayrıca güzel manzaralı bir balkonu da var
common_voice_tr_18200065.wav,177452,bugüne kadar eyalette tespit edilen vaka yok
common_voice_tr_18288556.wav,134444,bu yorumlar lahey tarafından hoş karşılanmadı
common_voice_tr_19909841.wav,142124,gün boyunca aileler birbirlerini ziyaret ederler
common_voice_tr_19909842.wav,178988,maras finalde on beş bin üç yüz yetmiş beş puan topladı
common_voice_tr_17525669.wav,116780,beş yıldızlı bir eğitim kampı
common_voice_tr_17525670.wav,124460,etkinlik yirmi sekiz eylül'e kadar devam edecek
common_voice_tr_17525671.wav,151340,tzadari de temerrüt çağrısında bulundu
common_voice_tr_19078454.wav,149804,tüm bunlar ilgimizi çekse de uzun kalamazdık
common_voice_tr_17344845.wav,182828,krivokapiç ise talebi reddetti
common_voice_tr_17344847.wav,172844,yine de her iki grup farklı sorunlar çıkarıyor
common_voice_tr_19078455.wav,92204,makedonya'nın puanı değişmedi
common_voice_tr_19078456.wav,129068,pek çok kişi başkalarının attığı şeyleri istiyor
common_voice_tr_17348056.wav,221228,güneydoğu avrupa ülkeleri biyoyakıt konusunu değerlendiriyor
common_voice_tr_17348055.wav,241964,ancak bu bile mümkün olmadı
common_voice_tr_19057013.wav,223532,semir osmanagiç kolay pes etmiyor
common_voice_tr_17348059.wav,203564,kentin mali esnekliğinin düşük olduğu bildirildi
common_voice_tr_19057014.wav,268844,polis grubun yirmi bir üyesini tutukladı
common_voice_tr_17526132.wav,282668,milletvekili dokunulmazlığı adaletten muaf olmak mı
common_voice_tr_17526131.wav,207404,balkanlar'da değişim rüzgarları mı esiyor
common_voice_tr_17526135.wav,107564,ancak bu kaçış çok uzun sürmedi
common_voice_tr_18527957.wav,126764,bence bu son derece yanlış bir kavram
common_voice_tr_18527954.wav,122924,takım şimdiden bazı hayal kırıklıkları yaşadı
common_voice_tr_17526433.wav,132908,yarışın ilk yedisi kenya'dan geldi
common_voice_tr_18527958.wav,98348,grup kazanmaya yabancı değil
common_voice_tr_17774093.wav,113708,bankaysa bu iddiayı reddediyor
common_voice_tr_17524232.wav,125228,ne olsa herşeyin büyüyüp çiçek açtığı bir zaman
common_voice_tr_17524233.wav,163628,projenin iki bin on iki yılında tamamlanması düşünülüyor
common_voice_tr_17774096.wav,148268,ab hareketi büyük oranda memnuniyetle karşıladı
common_voice_tr_20188741.wav,140588,bu da hükümetin elinde olmayan bir meblağ
common_voice_tr_17524234.wav,99884,vahhabi'ler ülkeye girdiğinde işler değişti
common_voice_tr_20188748.wav,144428,etkinliğe yirmi bir ülkenin temsilcileri katılıyor
common_voice_tr_20188755.wav,130604,yine de diğerleri katılım konusunda temkinli
common_voice_tr_18468750.wav,172844,yarışmaya üç yüz otuz dokuz güfte katıldı
common_voice_tr_18468751.wav,136748,sizlere yatırım yapıyoruz
common_voice_tr_17525557.wav,136748,toplantıya toplam yüz kırk milletvekili katıldı
common_voice_tr_17525558.wav,119084,sırbistan bu sorunlar nasıl başa çıkacak
common_voice_tr_17360846.wav,153644,aslında ciddi ilerleme kaydedildi
common_voice_tr_17360856.wav,195884,bunların sayısı kaçtır ve bu kişiler gelecekte ne yapacak
common_voice_tr_17360855.wav,106028,yine aynısı olabilir mi
common_voice_tr_17343934.wav,130604,reform çabalarının hızlandırılması gerekiyor
common_voice_tr_17343936.wav,126764,şimdi ise gurur duyulacak bir tesis haline geldi
common_voice_tr_18045106.wav,145196,almazsak yine bir şey olmayacak
