wav_filename,wav_filesize,transcript
common_voice_tr_18756246.wav,98348,kayak kulüpleri de iyimserler
common_voice_tr_18756243.wav,122924,türkiye tutuklamaları memnuniyetle karşıladı
common_voice_tr_18756262.wav,122924,tasarı yüksek mahkeme tarafından da reddedildi
common_voice_tr_18756264.wav,102188,ancak yasa yaygın bir şekilde uygulanmıyor
common_voice_tr_18756266.wav,109868,çalışanlar kırk günden fazla süredir grev yapıyor
common_voice_tr_18756277.wav,103724,mahhemenin altı ay sürmesi bekleniyor
common_voice_tr_18756278.wav,117548,bu düşüş de yine işten çıkarma anlamına gelecek
common_voice_tr_18756282.wav,90668,kadın meclis üyelerinin sayısı da artıyor
common_voice_tr_18756280.wav,157484,bir kasabanın yarısını boşaltmak zorunda kalırsanız bu kadar insanı nereye taşıyacaksınız
common_voice_tr_18756285.wav,106028,ancak krediyi kimin vereceği henüz belli değil
common_voice_tr_18756284.wav,84524,bu avrupa'ya uzanan bir yol
common_voice_tr_18756303.wav,109868,costi rogozanu meseleyi küçümsüyor
common_voice_tr_18756369.wav,98348,uçuş planı dediğimiz şey budur
common_voice_tr_18756302.wav,109868,teklif kırk beş gün süreyle geçerli olacak
common_voice_tr_18756370.wav,99884,bu aralık iki bin onda oldu
common_voice_tr_18756389.wav,106028,her aileye beş yüz avro kadar yardım yapılabilecek
common_voice_tr_18756390.wav,98348,bunun üzerine gaşi ateş açtı
common_voice_tr_18756410.wav,98348,seydiu'nun hareketi bazılarına sürpriz oldu
common_voice_tr_18756393.wav,90668,etkinlik yirmi beş ekim'e kadar sürecek
common_voice_tr_18756401.wav,84524,sizce bu zamanlama gerçekçi mi
common_voice_tr_18756413.wav,126764,dava boyunca ağırbaşlı bir biçimde duruşmalara katılabilecek mi
common_voice_tr_18756412.wav,73004,ne yazık ki anlamam uzun sürmedi
common_voice_tr_18756419.wav,103724,şimdi de ülkeler bu kilometre taşını kutluyorlar
common_voice_tr_18756421.wav,98348,turnuvada dünyadan elli yedi oyuncu biraraya gelecek
common_voice_tr_18756439.wav,94508,onları savaş suçu davalarına nasıl hazırlıyorsunuz
common_voice_tr_18756450.wav,73004,yalandan inanma olamaz
common_voice_tr_18756459.wav,88364,numara değiştirme hizmeti ekim ayında başlamıştı
common_voice_tr_18756452.wav,73004,olayla ilgili soruşturma sürüyor
common_voice_tr_18684987.wav,107564,askerlerin hizmetleri ekim ayında sona erecek
common_voice_tr_18685007.wav,125228,cavcav her iki teklifi de geri çevirdi
common_voice_tr_18685005.wav,102188,ülkemiz demiryollarımız ve raylarımız gibi
common_voice_tr_18697589.wav,102188,bu devrimci mesajlara benziyor
common_voice_tr_18697591.wav,115244,projenin değeri iki virgül yetmiş yedi milyon avro
common_voice_tr_18697593.wav,98348,sırp diva ceca hapse mi girecek
common_voice_tr_18731930.wav,94508,dış basın bu büyüyen olguya odaklanmaya başladı
common_voice_tr_18731929.wav,102188,panteliç şimdi adli işlemleri bekliyor
common_voice_tr_18731934.wav,122924,sahte bir seyahat belgesi yaklaşık beş yüz avro
common_voice_tr_18731940.wav,113708,neden partiden ayrılarak demos'u kurmaya karar verdiniz
common_voice_tr_18731950.wav,136748,mevcut ihale planlanan üç santralin biri için
common_voice_tr_18731952.wav,73004,ekonomik bir hac sanki
common_voice_tr_18731955.wav,117548,ab üyeliği ise daha zorlu bir yol
common_voice_tr_18731954.wav,103724,kırmızı kartlar penaltılar ofsaytlar
common_voice_tr_18731959.wav,107564,egmont grubu bu meselelere nasıl yaklaşıyor
common_voice_tr_18731958.wav,96044,bunun da fiyatı bir kuruş bile değildir
common_voice_tr_18731962.wav,103724,bugün goralılar üç ayrı ülkeye dağılmış durumda
common_voice_tr_18731963.wav,96044,mevki ocak iki bin üçten bu yana boş duruyor
common_voice_tr_18731966.wav,121388,yurtta da bütün çocuklara kapısını açtı
common_voice_tr_18731969.wav,94508,etkinlik altı haziran'a kadar devam edecek
common_voice_tr_18731968.wav,117548,hırvatistan'ın da bunu izlemesi bekleniyordu
common_voice_tr_18731972.wav,86828,karar düzenli olarak uzatıldı
common_voice_tr_18731973.wav,73004,adalet bu şekilde yerini bulurdu
common_voice_tr_18731970.wav,96044,olayla ilgili bir tutuklama yapılmadı
common_voice_tr_18731976.wav,96044,bunların otuz iki milyonu slovenya üzerinden geldi
common_voice_tr_18731993.wav,75308,dezenflasyon sürüyor
common_voice_tr_18731980.wav,130604,arnavutluk kırk ikinci makedonya ise yetmiş ikinci sırada
common_voice_tr_18731991.wav,76844,bu adamlar iyi ve kibardırlar
